nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Francia,67750000,551695,Europa
Canadá,38250000,9984670,América
Egipto,104258327,1010408,África
Sudáfrica,60142978,1221037,África
Australia,25690000,7692024,Oceanía
India,1380004385,3287263,Asia
China,1412600000,9596960,Asia
México,128972439,1964375,América
Italia,59236213,301340,Europa
España,47351567,505990,Europa
Nigeria,206139589,923768,África
Rusia,146171015,17098242,Europa
Estados Unidos,331002651,9833517,América
Chile,19116209,756102,América
Corea del Sur,51780579,100210,Asia
Nueva Zelanda,5084300,270467,Oceanía
